scenario,severity,severity_rank,seed,method,method_label,allocate_rate,defer_rate,reject_rate,allocate_count,defer_count,reject_count,total_actions
clean,clean,0,0,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
clean,clean,0,0,psaim_lite,Simplified PSAIM,0.796875,0.006510416666666667,0.19661458333333334,612.0,5.0,151.0,768.0
duration_misreport,low,1,0,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9270833333333334,0.07291666666666667,0.0,712.0,56.0,0.0,768.0
duration_misreport,low,1,0,psaim_lite,Simplified PSAIM,0.83203125,0.00390625,0.1640625,639.0,3.0,126.0,768.0
duration_misreport,medium,2,0,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
duration_misreport,medium,2,0,psaim_lite,Simplified PSAIM,0.8098958333333334,0.0013020833333333333,0.18880208333333334,622.0,1.0,145.0,768.0
duration_misreport,high,3,0,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
duration_misreport,high,3,0,psaim_lite,Simplified PSAIM,0.8411458333333334,0.006510416666666667,0.15234375,646.0,5.0,117.0,768.0
clean,clean,0,1,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
clean,clean,0,1,psaim_lite,Simplified PSAIM,0.79296875,0.0013020833333333333,0.20572916666666666,609.0,1.0,158.0,768.0
duration_misreport,low,1,1,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9270833333333334,0.07291666666666667,0.0,712.0,56.0,0.0,768.0
duration_misreport,low,1,1,psaim_lite,Simplified PSAIM,0.7942708333333334,0.0026041666666666665,0.203125,610.0,2.0,156.0,768.0
duration_misreport,medium,2,1,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
duration_misreport,medium,2,1,psaim_lite,Simplified PSAIM,0.83984375,0.00390625,0.15625,645.0,3.0,120.0,768.0
duration_misreport,high,3,1,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
duration_misreport,high,3,1,psaim_lite,Simplified PSAIM,0.8268229166666666,0.005208333333333333,0.16796875,635.0,4.0,129.0,768.0
clean,clean,0,2,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
clean,clean,0,2,psaim_lite,Simplified PSAIM,0.8346354166666666,0.0,0.16536458333333334,641.0,0.0,127.0,768.0
duration_misreport,low,1,2,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9270833333333334,0.07291666666666667,0.0,712.0,56.0,0.0,768.0
duration_misreport,low,1,2,psaim_lite,Simplified PSAIM,0.828125,0.0013020833333333333,0.17057291666666666,636.0,1.0,131.0,768.0
duration_misreport,medium,2,2,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
duration_misreport,medium,2,2,psaim_lite,Simplified PSAIM,0.8294270833333334,0.0026041666666666665,0.16796875,637.0,2.0,129.0,768.0
duration_misreport,high,3,2,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
