source,seed,regime,r_int,V_epi,V_ale,gate_h3,allocate_rate,defer_rate,reject_rate
mechanism-control signal audit,0,high_entropy,-0.0487433422613805,0.06342696223493678,0.07150157958706266,0.8353402512527004,0.7551020408163265,0.22959183673469388,0.015306122448979591
mechanism-control signal audit,0,low_entropy,-0.007162025112158615,0.02711699520985834,0.059936598319798,0.9239961782676461,0.6648936170212766,0.3351063829787234,0.0
mechanism-control signal audit,1,high_entropy,-0.038644891659406135,0.07168725790442347,0.06992767941757881,0.8003447151255006,0.6938775510204082,0.21683673469387754,0.08928571428571429
mechanism-control signal audit,1,low_entropy,0.0018259065899070095,0.033499422737353325,0.056508291849589054,0.908830627113755,0.648936170212766,0.31382978723404253,0.03723404255319149
mechanism-control signal audit,2,high_entropy,-0.13884916774140632,0.0893710411222883,0.07249243100344827,0.7385232602429094,0.7857142857142857,0.12244897959183673,0.09183673469387756
mechanism-control signal audit,2,low_entropy,-0.029849565705898497,0.04077823103788561,0.06042386253582348,0.8908157020943773,0.6648936170212766,0.28191489361702127,0.05319148936170213
mechanism-control signal audit,3,high_entropy,-0.024848704570718447,0.08045568763604156,0.07029331204177314,0.7790372541612973,0.7474489795918368,0.16581632653061223,0.08673469387755102
mechanism-control signal audit,3,low_entropy,0.0008162176725456223,0.03193283062863046,0.05896583918799107,0.9197747695128446,0.648936170212766,0.3191489361702128,0.031914893617021274
mechanism-control signal audit,4,high_entropy,0.009295332583139452,0.07246491330384218,0.07387882644994827,0.8172564460500672,0.7551020408163265,0.1377551020408163,0.10714285714285714
mechanism-control signal audit,4,low_entropy,0.014298415951152162,0.02850870366332886,0.05826548057945164,0.9237139717966957,0.6409574468085106,0.3324468085106383,0.026595744680851064
mechanism-control signal audit,5,high_entropy,-0.025388307704104825,0.07547595496281766,0.07197675712368616,0.8008445566320272,0.7448979591836735,0.25510204081632654,0.0
mechanism-control signal audit,5,low_entropy,0.002029762400845978,0.028806883231075404,0.05568200158589376,0.9218763572449643,0.6143617021276596,0.38563829787234044,0.0
mechanism-control signal audit,6,high_entropy,-0.024608069728234656,0.0607513633683331,0.07382694861319444,0.8491826014113223,0.6760204081632653,0.21683673469387754,0.10714285714285714
mechanism-control signal audit,6,low_entropy,0.006204108333268264,0.02911981721402278,0.06080521407358818,0.9235287498304572,0.651595744680851,0.31117021276595747,0.03723404255319149
mechanism-control signal audit,7,high_entropy,-0.052909374658820764,0.07736520992364443,0.07222326240521301,0.7907533003957529,0.7142857142857143,0.21428571428571427,0.07142857142857142
