source,metric,low_entropy,high_entropy,paired_high_minus_low,low_mean_raw,high_mean_raw
C4 original artifact,V_ale,"0.057 [0.055, 0.059]","0.072 [0.071, 0.074]","0.015 [0.014, 0.017]",0.05721770457420592,0.07248174020579812
C4 original artifact,V_epi,"0.025 [0.022, 0.030]","0.064 [0.058, 0.071]","0.039 [0.035, 0.043]",0.025371095242217895,0.06424428491545062
C4 original artifact,allocate_rate,"0.633 [0.607, 0.662]","0.717 [0.698, 0.735]","0.084 [0.063, 0.105]",0.6327127659574467,0.7170918367346939
C4 original artifact,defer_rate,"0.344 [0.320, 0.366]","0.210 [0.193, 0.225]","-0.135 [-0.164, -0.101]",0.34441489361702127,0.20969387755102042
C4 original artifact,gate_h3,"0.930 [0.921, 0.938]","0.829 [0.808, 0.850]","-0.101 [-0.115, -0.086]",0.9301093870330206,0.8290825369794682
C4 original artifact,r_int,"0.004 [0.001, 0.007]","-0.033 [-0.048, -0.020]","-0.037 [-0.050, -0.026]",0.0043907289914467676,-0.03308933562568203
C4 original artifact,reject_rate,"0.023 [0.015, 0.030]","0.073 [0.049, 0.093]","0.050 [0.033, 0.066]",0.022872340425531913,0.07321428571428572
C6 strict original experiment_2 rerun,V_ale,"0.057 [0.055, 0.059]","0.072 [0.071, 0.074]","0.015 [0.014, 0.017]",0.05721770457420592,0.07248174020579812
C6 strict original experiment_2 rerun,V_epi,"0.025 [0.022, 0.030]","0.064 [0.058, 0.071]","0.039 [0.035, 0.043]",0.025371095242217895,0.06424428491545062
C6 strict original experiment_2 rerun,allocate_rate,"0.633 [0.607, 0.662]","0.717 [0.698, 0.735]","0.084 [0.063, 0.105]",0.6327127659574467,0.7170918367346939
C6 strict original experiment_2 rerun,defer_rate,"0.344 [0.320, 0.366]","0.210 [0.193, 0.225]","-0.135 [-0.164, -0.101]",0.34441489361702127,0.20969387755102042
C6 strict original experiment_2 rerun,gate_h3,"0.930 [0.921, 0.938]","0.829 [0.808, 0.850]","-0.101 [-0.115, -0.086]",0.9301093870330206,0.8290825369794682
C6 strict original experiment_2 rerun,r_int,"0.004 [0.001, 0.007]","-0.033 [-0.048, -0.020]","-0.037 [-0.050, -0.026]",0.0043907289914467676,-0.03308933562568203
C6 strict original experiment_2 rerun,reject_rate,"0.023 [0.015, 0.030]","0.073 [0.049, 0.093]","0.050 [0.033, 0.066]",0.022872340425531913,0.07321428571428572
C5 signal audit,V_ale,"0.059 [0.058, 0.060]","0.072 [0.071, 0.073]","0.013 [0.012, 0.014]",0.059073546847843696,0.07230053284319532
C5 signal audit,V_epi,"0.035 [0.030, 0.041]","0.075 [0.069, 0.082]","0.041 [0.037, 0.044]",0.03478305092757924,0.07531697280971869
C5 signal audit,allocate_rate,"0.642 [0.623, 0.656]","0.708 [0.653, 0.747]","0.066 [0.025, 0.099]",0.6422872340425532,0.7081632653061225
C5 signal audit,defer_rate,"0.335 [0.312, 0.363]","0.231 [0.178, 0.301]","-0.104 [-0.141, -0.054]",0.3348404255319149,0.2308673469387755
C5 signal audit,gate_h3,"0.906 [0.888, 0.919]","0.799 [0.777, 0.819]","-0.107 [-0.123, -0.092]",0.906010803481984,0.798895467182359
C5 signal audit,r_int,"-0.009 [-0.026, 0.003]","-0.056 [-0.090, -0.028]","-0.046 [-0.066, -0.030]",-0.009286377504048583,-0.055764570177285123
C5 signal audit,reject_rate,"0.023 [0.011, 0.035]","0.061 [0.034, 0.086]","0.038 [0.022, 0.054]",0.022872340425531913,0.060969387755102036
