method,seed,switch_index,adaptation_lag_steps
heuristic_sjf_bestfit,0,1,14.0
heuristic_sjf_bestfit,0,2,13.0
heuristic_sjf_bestfit,0,3,13.5
heuristic_sjf_bestfit,0,4,18.5
heuristic_sjf_bestfit,0,5,15.0
heuristic_sjf_bestfit,0,6,16.333333333333332
heuristic_sjf_bestfit,0,7,13.0
heuristic_sjf_bestfit,0,8,11.0
deeprm_inspired_pg,0,1,8.5
deeprm_inspired_pg,0,2,6.0
deeprm_inspired_pg,0,3,14.0
deeprm_inspired_pg,0,4,16.5
deeprm_inspired_pg,0,5,14.5
deeprm_inspired_pg,0,6,16.666666666666668
deeprm_inspired_pg,0,7,16.5
deeprm_inspired_pg,0,8,12.0
plain_dqn,0,1,7.5
plain_dqn,0,2,4.0
plain_dqn,0,3,12.5
plain_dqn,0,4,15.0
plain_dqn,0,5,19.5
plain_dqn,0,6,16.5
plain_dqn,0,7,16.0
plain_dqn,0,8,12.0
dqn_rnd,0,1,17.0
dqn_rnd,0,2,12.0
dqn_rnd,0,3,14.0
dqn_rnd,0,4,15.333333333333334
dqn_rnd,0,5,20.0
dqn_rnd,0,6,12.5
dqn_rnd,0,7,15.0
dqn_rnd,0,8,13.0
psaim_lite,0,1,14.5
psaim_lite,0,2,13.0
psaim_lite,0,3,15.666666666666666
psaim_lite,0,4,17.0
psaim_lite,0,5,14.5
psaim_lite,0,6,15.0
psaim_lite,0,7,16.666666666666668
psaim_lite,0,8,15.5
psaim_no_aleatoric,0,1,12.0
psaim_no_aleatoric,0,2,9.0
psaim_no_aleatoric,0,3,15.0
psaim_no_aleatoric,0,4,12.0
psaim_no_aleatoric,0,5,14.5
psaim_no_aleatoric,0,6,15.0
psaim_no_aleatoric,0,7,15.5
psaim_no_aleatoric,0,8,12.5
psaim_no_gate,0,1,17.0
psaim_no_gate,0,2,9.0
psaim_no_gate,0,3,13.0
psaim_no_gate,0,4,14.5
psaim_no_gate,0,5,20.5
psaim_no_gate,0,6,14.5
psaim_no_gate,0,7,17.0
psaim_no_gate,0,8,17.0
psaim_no_freezing,0,1,17.666666666666668
psaim_no_freezing,0,2,12.0
psaim_no_freezing,0,3,14.0
psaim_no_freezing,0,4,16.0
psaim_no_freezing,0,5,16.666666666666668
psaim_no_freezing,0,6,13.5
psaim_no_freezing,0,7,15.0
psaim_no_freezing,0,8,17.5
heuristic_sjf_bestfit,1,1,11.5
heuristic_sjf_bestfit,1,2,13.666666666666666
heuristic_sjf_bestfit,1,3,12.666666666666666
heuristic_sjf_bestfit,1,4,14.333333333333334
heuristic_sjf_bestfit,1,5,16.0
heuristic_sjf_bestfit,1,6,19.0
heuristic_sjf_bestfit,1,7,19.5
heuristic_sjf_bestfit,1,8,13.5
deeprm_inspired_pg,1,1,17.0
deeprm_inspired_pg,1,2,10.0
deeprm_inspired_pg,1,3,11.0
deeprm_inspired_pg,1,4,16.5
deeprm_inspired_pg,1,5,14.0
deeprm_inspired_pg,1,6,3.0
deeprm_inspired_pg,1,7,11.5
deeprm_inspired_pg,1,8,11.5
plain_dqn,1,1,17.5
plain_dqn,1,2,13.5
plain_dqn,1,3,8.5
plain_dqn,1,4,14.5
plain_dqn,1,5,14.5
plain_dqn,1,6,15.0
plain_dqn,1,7,11.0
