average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,scenario,severity,severity_rank,method,seed,degradation_pct
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,clean,clean,0,heuristic_sjf_bestfit,0,0.0
5.544140625000001,17.619791666666664,47.59375,0.5284016927083333,0.33723958333333337,96.0,32.375,observation_noise,low,1,heuristic_sjf_bestfit,0,31.42207498250959
6.011458333333334,18.688802083333332,47.34375,0.5152180989583333,0.35677083333333337,96.0,34.25,observation_noise,medium,2,heuristic_sjf_bestfit,0,42.499691345322866
6.863585069444444,20.944010416666668,52.1875,0.5032552083333333,0.3971354166666667,96.0,38.125,observation_noise,high,3,heuristic_sjf_bestfit,0,62.69908226675994
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption,low,1,heuristic_sjf_bestfit,0,0.0
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption,medium,2,heuristic_sjf_bestfit,0,0.0
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption,high,3,heuristic_sjf_bestfit,0,0.0
2.5168122694522532,7.630534552658405,21.387499999999996,0.4081217447916667,0.10351076007111926,89.25,9.375,distribution_shift,low,1,heuristic_sjf_bestfit,0,-40.33977253366402
5.423681757128198,15.998631750556019,58.037499999999994,0.45947265625,0.28404682019715366,115.375,34.5,distribution_shift,medium,2,heuristic_sjf_bestfit,0,28.566636162222395
7.815248686517045,23.965872693997074,68.46875,0.5030110677083334,0.48489564557456627,146.75,72.125,distribution_shift,high,3,heuristic_sjf_bestfit,0,85.25796302044604
7.0810546875,22.013020833333336,59.03125,0.45906575520833337,0.42708333333333337,96.0,41.0,co_tenant_interference,low,1,heuristic_sjf_bestfit,0,67.85412979958024
8.05134548611111,24.571614583333336,62.0625,0.42024739583333337,0.48177083333333337,96.0,46.25,co_tenant_interference,medium,2,heuristic_sjf_bestfit,0,90.85456191612822
8.970225694444444,27.395833333333332,66.4375,0.37003580729166663,0.5377604166666666,96.0,51.625,co_tenant_interference,high,3,heuristic_sjf_bestfit,0,112.63632248240668
6.873437499999999,21.614583333333332,60.0,0.4583333333333333,0.4166666666666667,96.0,40.0,co_tenant_matched_load_control,low,1,heuristic_sjf_bestfit,0,62.93263097246797
6.873437499999999,21.614583333333332,60.0,0.4583333333333333,0.4166666666666667,96.0,40.0,co_tenant_matched_load_control,medium,2,heuristic_sjf_bestfit,0,62.93263097246797
8.022048611111112,24.916666666666668,62.0,0.4016927083333333,0.4895833333333333,96.0,47.0,co_tenant_matched_load_control,high,3,heuristic_sjf_bestfit,0,90.16008889254704
3.637152777777778,13.770833333333334,73.5,0.5390625,0.22916666666666666,96.0,22.0,clean,clean,0,deeprm_inspired_pg,0,0.0
5.177018229166666,18.04296875,82.28125,0.4853515625,0.3125,96.0,30.0,observation_noise,low,1,deeprm_inspired_pg,0,42.33711217183769
4.993641493055556,18.044270833333332,82.1875,0.46590169270833337,0.30859375,96.0,29.625,observation_noise,medium,2,deeprm_inspired_pg,0,37.2953460620525
6.204123263888889,20.690104166666664,85.59375,0.4466145833333333,0.36588541666666663,96.0,35.125,observation_noise,high,3,deeprm_inspired_pg,0,70.57637231503577
