source,seed,regime,r_int,V_epi,V_ale,gate_h3,allocate_rate,defer_rate,reject_rate
C4 original artifact,0,high_entropy,-0.059543,0.083895,0.074837,0.776817,0.755102,0.237245,0.007653
C4 original artifact,0,low_entropy,0.002165,0.040615,0.062258,0.897664,0.728723,0.271277,0.000000
C4 original artifact,1,high_entropy,-0.084546,0.070218,0.073000,0.806551,0.727041,0.186224,0.086735
C4 original artifact,1,low_entropy,-0.007848,0.023882,0.053981,0.933144,0.617021,0.367021,0.015957
C4 original artifact,2,high_entropy,-0.024577,0.060132,0.073708,0.845621,0.724490,0.158163,0.117347
C4 original artifact,2,low_entropy,0.005601,0.026154,0.059766,0.928141,0.643617,0.319149,0.037234
C4 original artifact,3,high_entropy,-0.044660,0.079016,0.072409,0.777195,0.765306,0.234694,0.000000
C4 original artifact,3,low_entropy,0.007282,0.033412,0.060238,0.916119,0.688830,0.311170,0.000000
C4 original artifact,4,high_entropy,-0.021196,0.066057,0.073811,0.821559,0.716837,0.204082,0.079082
C4 original artifact,4,low_entropy,0.008256,0.024122,0.056529,0.932503,0.601064,0.367021,0.031915
C4 original artifact,5,high_entropy,-0.023231,0.054848,0.072117,0.855364,0.711735,0.209184,0.079082
C4 original artifact,5,low_entropy,0.006051,0.025586,0.059403,0.932379,0.648936,0.316489,0.034574
C4 original artifact,6,high_entropy,-0.037078,0.059083,0.071711,0.841400,0.665816,0.244898,0.089286
C4 original artifact,6,low_entropy,0.001964,0.025006,0.057523,0.933403,0.617021,0.351064,0.031915
C4 original artifact,7,high_entropy,-0.016526,0.064596,0.069697,0.827659,0.729592,0.181122,0.089286
C4 original artifact,7,low_entropy,0.007005,0.019706,0.052923,0.940898,0.574468,0.393617,0.031915
C4 original artifact,8,high_entropy,-0.018122,0.055238,0.069172,0.856022,0.676020,0.221939,0.102041
C4 original artifact,8,low_entropy,0.003197,0.016726,0.053618,0.944625,0.587766,0.388298,0.023936
C4 original artifact,9,high_entropy,-0.001414,0.049361,0.074355,0.882638,0.698980,0.219388,0.081633
