scenario,severity,method,average_slowdown,p95_completion_time,utilization,task_failure_rate,degradation_pct
co_tenant_interference,high,DQN,"5.659 [5.373, 5.931]","85.294 [84.884, 85.672]","0.366 [0.352, 0.379]","0.370 [0.365, 0.374]","79.404 [71.010, 87.940]"
co_tenant_interference,high,Heuristic,"8.761 [8.699, 8.823]","65.003 [64.344, 65.631]","0.375 [0.372, 0.378]","0.535 [0.532, 0.538]","107.681 [106.212, 109.152]"
co_tenant_interference,high,PG proxy,"9.132 [7.154, 11.370]","84.912 [78.818, 89.978]","0.319 [0.237, 0.380]","0.536 [0.435, 0.661]","51.714 [33.775, 68.423]"
co_tenant_interference,low,DQN,"5.661 [5.038, 6.347]","83.334 [82.447, 84.219]","0.417 [0.383, 0.449]","0.341 [0.325, 0.358]","79.069 [60.637, 99.205]"
co_tenant_interference,low,Heuristic,"7.042 [6.986, 7.094]","58.459 [57.872, 58.988]","0.458 [0.455, 0.462]","0.422 [0.418, 0.425]","66.918 [65.593, 68.166]"
co_tenant_interference,low,PG proxy,"7.764 [5.899, 10.256]","81.791 [74.187, 88.063]","0.371 [0.274, 0.442]","0.459 [0.354, 0.597]","26.077 [11.984, 43.548]"
co_tenant_interference,medium,DQN,"5.289 [4.986, 5.593]","83.606 [83.047, 84.128]","0.400 [0.379, 0.418]","0.336 [0.331, 0.342]","67.545 [59.098, 75.571]"
co_tenant_interference,medium,Heuristic,"7.922 [7.834, 8.002]","61.425 [60.919, 61.875]","0.422 [0.419, 0.425]","0.480 [0.475, 0.484]","87.779 [85.706, 89.687]"
co_tenant_interference,medium,PG proxy,"8.281 [6.271, 10.708]","83.006 [76.105, 88.753]","0.355 [0.266, 0.419]","0.485 [0.380, 0.620]","34.071 [20.047, 48.384]"
co_tenant_matched_load_control,high,DQN,"4.787 [4.420, 5.165]","82.859 [81.094, 84.488]","0.392 [0.372, 0.410]","0.315 [0.299, 0.331]","51.544 [41.255, 61.915]"
co_tenant_matched_load_control,high,Heuristic,"8.022 [8.022, 8.022]","62.000 [62.000, 62.000]","0.402 [0.402, 0.402]","0.490 [0.490, 0.490]","90.160 [90.160, 90.160]"
co_tenant_matched_load_control,high,PG proxy,"8.007 [5.761, 10.520]","82.900 [76.674, 88.351]","0.355 [0.263, 0.423]","0.475 [0.364, 0.612]","26.604 [14.115, 38.986]"
co_tenant_matched_load_control,low,DQN,"5.932 [5.154, 6.772]","83.947 [82.965, 84.919]","0.411 [0.368, 0.451]","0.351 [0.333, 0.371]","87.555 [64.257, 112.127]"
co_tenant_matched_load_control,low,Heuristic,"6.873 [6.873, 6.873]","60.000 [60.000, 60.000]","0.458 [0.458, 0.458]","0.417 [0.417, 0.417]","62.933 [62.933, 62.933]"
co_tenant_matched_load_control,low,PG proxy,"7.730 [5.950, 10.188]","81.850 [74.220, 88.326]","0.374 [0.278, 0.446]","0.458 [0.357, 0.596]","27.361 [9.983, 49.937]"
co_tenant_matched_load_control,medium,DQN,"5.962 [5.137, 6.867]","84.231 [83.265, 85.203]","0.412 [0.367, 0.455]","0.354 [0.334, 0.376]","88.500 [63.653, 114.890]"
co_tenant_matched_load_control,medium,Heuristic,"6.873 [6.873, 6.873]","60.000 [60.000, 60.000]","0.458 [0.458, 0.458]","0.417 [0.417, 0.417]","62.933 [62.933, 62.933]"
co_tenant_matched_load_control,medium,PG proxy,"7.963 [6.071, 10.383]","82.250 [74.223, 88.951]","0.374 [0.278, 0.446]","0.463 [0.361, 0.596]","30.636 [13.461, 51.443]"
distribution_shift,high,DQN,"9.555 [9.254, 9.858]","78.816 [77.039, 80.438]","0.481 [0.475, 0.489]","0.508 [0.497, 0.520]","203.368 [190.570, 215.816]"
distribution_shift,high,Heuristic,"8.442 [8.173, 8.702]","72.067 [69.603, 74.125]","0.501 [0.497, 0.505]","0.472 [0.463, 0.481]","100.104 [93.736, 106.271]"
distribution_shift,high,PG proxy,"9.894 [9.379, 10.580]","80.500 [77.186, 83.401]","0.470 [0.417, 0.505]","0.529 [0.495, 0.582]","85.704 [42.285, 130.175]"
distribution_shift,low,DQN,"3.779 [3.503, 4.065]","36.836 [31.366, 42.151]","0.348 [0.334, 0.360]","0.155 [0.140, 0.170]","19.884 [11.166, 29.225]"
distribution_shift,low,Heuristic,"2.409 [2.257, 2.583]","21.902 [19.900, 24.104]","0.371 [0.359, 0.383]","0.091 [0.077, 0.104]","-42.890 [-46.490, -38.768]"
distribution_shift,low,PG proxy,"5.181 [3.826, 6.848]","52.939 [38.255, 67.402]","0.317 [0.276, 0.351]","0.239 [0.159, 0.339]","-17.045 [-26.795, -7.142]"
distribution_shift,medium,DQN,"6.806 [6.449, 7.201]","64.469 [61.422, 67.893]","0.442 [0.436, 0.448]","0.335 [0.318, 0.350]","115.803 [104.814, 128.562]"
distribution_shift,medium,Heuristic,"5.419 [5.073, 5.824]","53.424 [49.851, 57.467]","0.460 [0.456, 0.465]","0.285 [0.270, 0.302]","28.463 [20.261, 38.059]"
