condition,method,average_slowdown,mean_completion_time,p95_completion_time,task_failure_rate,utilization
clean,DQN,"1.071 [1.038, 1.104]","3.212 [3.115, 3.312]","3.008 [3.000, 3.024]","0.024 [0.023, 0.026]","0.249 [0.249, 0.249]"
clean,DQN+RND,"1.259 [1.048, 1.653]","3.777 [3.143, 4.960]","9.029 [3.000, 21.088]","0.032 [0.024, 0.045]","0.247 [0.244, 0.249]"
clean,Heuristic,"1.000 [1.000, 1.000]","3.000 [3.000, 3.000]","3.000 [3.000, 3.000]","0.021 [0.021, 0.021]","0.250 [0.250, 0.250]"
clean,PG proxy,"1.944 [1.000, 3.833]","5.833 [3.000, 11.500]","12.130 [3.000, 30.390]","0.056 [0.021, 0.127]","0.241 [0.223, 0.250]"
clean,Simplified PSAIM,"1.067 [1.034, 1.107]","3.202 [3.102, 3.320]","3.000 [3.000, 3.000]","0.025 [0.023, 0.027]","0.249 [0.249, 0.249]"
stressed,DQN,"3.954 [3.207, 4.947]","11.048 [8.959, 13.861]","36.789 [30.851, 43.862]","0.247 [0.185, 0.338]","0.337 [0.295, 0.363]"
stressed,DQN+RND,"3.921 [3.001, 5.221]","10.986 [8.465, 14.486]","37.051 [26.282, 48.389]","0.232 [0.176, 0.319]","0.342 [0.297, 0.371]"
stressed,Heuristic,"2.412 [2.168, 2.701]","7.488 [6.804, 8.286]","24.922 [21.719, 28.496]","0.141 [0.127, 0.158]","0.374 [0.366, 0.382]"
stressed,PG proxy,"3.731 [2.998, 4.837]","10.570 [8.466, 13.835]","36.777 [26.458, 50.970]","0.206 [0.175, 0.245]","0.358 [0.337, 0.374]"
stressed,Simplified PSAIM,"3.303 [3.103, 3.518]","9.286 [8.754, 9.869]","33.119 [29.028, 36.860]","0.192 [0.177, 0.206]","0.360 [0.348, 0.373]"
